destination,vol,people,long,lat,longdest,latdest,longoff,latoff,year,rank
USA,0.208782574,2184110,116.4,39.9,-77,38.9,0,0,2020,1
South Korea,0.076761108,803011,116.4,39.9,126.9,37.5,0,0,2020,2
Japan,0.074168855,775893,116.4,39.9,139.7,35.7,0,0,2020,3
Canada,0.066836692,699190,116.4,39.9,-75.6,45.4,0,10,2020,4
Australia,0.062443493,653232,116.4,39.9,149.1,-35.3,0,0,2020,5
Singapore,0.040763509,426434,116.4,39.9,103.8,1.3,0,0,2020,6
Italy,0.022305153,233338,116.4,39.9,12.3,41.5,0,0,2020,7
United Kingdom,0.019904944,208229,116.4,39.9,-0.1,51.4,-40,0,2020,8
Spain,0.017120838,179104,116.4,39.9,-3.5,40.25,0,0,2020,9
Bangladesh,0.015258236,159619,116.4,39.9,90.26,23.43,0,0,2020,10
NewZealand,0.013784978,144207,116.4,39.9,174.5,-41.2,0,0,2020,11
Germany,0.01365918,142891,116.4,39.9,13.3,52.3,0,0,2020,12
France,0.012034314,125893,116.4,39.9,2.2,48.5,0,0,2020,13
India,0.010324658,108008,116.4,39.9,77.2,28.6,0,0,2020,14
Syria,1,8457214,36.18,33.3,36.18,33.3,0,0,2020,0
Turkey,0.448434319,3792505,36.18,33.3,32.54,39.57,0,5,2020,1
Lebanon,0.123301243,1042785,36.18,33.3,35.31,33.53,0,5,2020,2
Saudi Arabia,0.097344232,823261,36.18,33.3,46.6,24.7,-40,0,2020,3
Germany,0.083651306,707457,36.18,33.3,13.3,52.3,0,0,2020,4
Jordan,0.082615977,698701,36.18,33.3,35.52,31.57,-5,0,2020,5
Iraq,0.030085676,254441,36.18,33.3,44.3,33.2,0,-5,2020,6
Sweden,0.022570317,190882,36.18,33.3,18.03,59.2,-10,10,2020,7
Egypt,0.014859858,125673,36.18,33.3,31.14,30.01,-5,-5,2020,8
India,1,15885657,77.2,28.6,77.2,28.6,0,0,2015,0
United Arab Emirates,0.200435084,3184043,77.2,28.6,54.3,24.4,-30,8,2015,1
USA,0.150427458,2389639,77.2,28.6,-77,38.9,0,0,2015,2
Saudi Arabia,0.126104699,2003256,77.2,28.6,46.6,24.7,-40,0,2015,3
Pakistan ,0.107594983,1709217,77.2,28.6,73.1,33.4,0,0,2015,4
Oman,0.067743563,1076151,77.2,28.6,58.36,23.37,0,0,2015,5
Kuwait ,0.066837525,1061758,77.2,28.6,48,29.3,0,0,2015,6
United Kingdom ,0.050850273,807790,77.2,28.6,-0.1,51.4,-40,0,2015,7
Canada ,0.041827984,664465,77.2,28.6,-75.6,45.4,0,10,2015,8
Qatar ,0.040638986,645577,77.2,28.6,51.35,25.15,0,0,2015,9
Australia,0.028267008,449040,77.2,28.6,149.1,-35.3,0,0,2015,10
Nepal ,0.028082754,446113,77.2,28.6,85.2,27.45,0,0,2015,11
Bahrain ,0.017738454,281787,77.2,28.6,50.3,26.1,0,-20,2015,12
Singapore,0.008980365,142659,77.2,28.6,103.8,1.3,0,0,2015,13
Malaysia,0.00879737,139752,77.2,28.6,101.4,3.1,0,0,2015,14
Italy,0.008724285,138591,77.2,28.6,12.3,41.5,0,0,2015,15
Mexico ,1,11923234,-99.1,19.24,-99.1,19.24,0,0,2015,0
USA ,0.976521806,11643298,-99.1,19.24,-77,38.9,0,0,2015,1
China ,1,10240817,116.4,39.9,116.4,39.9,0,0,2015,0
USA ,0.261375338,2676697,116.4,39.9,-77,38.9,0,0,2015,1
South Korea,0.074135101,759204,116.4,39.9,126.9,37.5,0,0,2015,2
Japan,0.069776659,714570,116.4,39.9,139.7,35.7,0,0,2015,3
Canada,0.063010402,645278,116.4,39.9,-75.6,45.4,0,10,2015,4
Australia,0.049690371,508870,116.4,39.9,149.1,-35.3,0,0,2015,5
Singapore,0.040976613,419634,116.4,39.9,103.8,1.3,0,0,2015,6
Italy ,0.019492292,199617,116.4,39.9,12.3,41.5,0,0,2015,7
United Kingdom ,0.019473837,199428,116.4,39.9,-0.1,51.4,-40,0,2015,8
Bangladesh ,0.015894435,162772,116.4,39.9,90.26,23.43,0,0,2015,9
Spain ,0.015205135,155713,116.4,39.9,-3.5,40.25,0,0,2015,10
France,0.011183776,114531,116.4,39.9,2.2,48.5,0,0,2015,11
India,0.0107509,110098,116.4,39.9,77.2,28.6,0,0,2015,12
Russia ,1,10179999,37.6,55.7,37.6,55.7,0,0,2015,0
Ukraine ,0.321783725,3275758,37.6,55.7,30.5,50.4,0,0,2015,1
Kazakhstan,0.231100023,2352598,37.6,55.7,71.4,51.1,0,0,2015,2
Uzbekistan ,0.086217101,877690,37.6,55.7,69.2,41.2,0,0,2015,3
Germany ,0.086080755,876302,37.6,55.7,13.3,52.3,0,0,2015,4
Belarus,0.067029673,682362,37.6,55.7,27.5,53.9,0,0,2015,5
USA,0.037969454,386529,37.6,55.7,-77,38.9,0,0,2015,6
Tajikistan,0.023001378,234154,37.6,55.7,68.48,38.33,0,0,2015,7
Latvia ,0.013396465,136376,37.6,55.7,24.08,56.53,0,0,2015,8
Estonia,0.012690276,129187,37.6,55.7,24.48,59.22,0,0,2015,9
Israel ,0.011260315,114630,37.6,55.7,35.12,31.47,-28,0,2015,10
Kyrgyzstan,0.010977702,111753,37.6,55.7,74.46,42.54,0,0,2015,11
Bangladesh,1,6831282,90.26,23.43,90.26,23.43,0,0,2015,0
India,0.3894777,2660632,90.26,23.43,77.2,28.6,0,0,2015,1
Saudi Arabia ,0.149724752,1022812,90.26,23.43,46.6,24.7,-40,0,2015,2
United Arab Emirates,0.147060391,1004611,90.26,23.43,54.3,24.4,-30,8,2015,3
Malaysia,0.057426263,392295,90.26,23.43,101.4,3.1,0,0,2015,4
Kuwait,0.051268415,350229,90.26,23.43,48,29.3,0,0,2015,5
Oman ,0.036240343,247568,90.26,23.43,58.36,23.37,0,0,2015,6
USA,0.032587734,222616,90.26,23.43,-77,38.9,0,0,2015,7
United Kingdom ,0.031567867,215649,90.26,23.43,-0.1,51.4,-40,0,2015,8
Qatar,0.023448454,160183,90.26,23.43,51.35,25.15,0,0,2015,9
Italy ,0.015382764,105084,90.26,23.43,12.3,41.5,0,0,2015,10
India,1,13221963,77.2,28.6,77.2,28.6,0,0,2010,0
United Arab Emirates,0.220380136,2913858,77.2,28.6,54.2,24.3,-30,8,2010,1
USA,0.134948494,1784284,77.2,28.6,-77,38.9,0,0,2010,2
Saudi Arabia,0.119440283,1579235,77.2,28.6,46.4,24.4,-40,0,2010,3
Pakistan,0.146978554,1943345,77.2,28.6,73.1,33.4,0,0,2010,4
Oman,0.035789391,473206,77.2,28.6,58.4,23.4,0,0,2010,5
Kuwait,0.051077665,675347,77.2,28.6,48,39.3,0,0,2010,6
United Kingdom,0.051742393,684136,77.2,28.6,-0.1,51.4,-40,0,2010,7
Canada,0.039168919,517890,77.2,28.6,-75.4,45.3,0,0,2010,8
Qatar,0.040910264,540914,77.2,28.6,51.4,25.2,0,0,2010,9
Australia,0.024921413,329510,77.2,28.6,149.1,-35.3,0,0,2010,10
Nepal,0.034880297,461186,77.2,28.6,85.2,27.5,0,0,2010,11
Bahrain,0.019657822,259915,77.2,28.6,50.3,26.1,0,-20,2010,12
Italy,0.009756418,128999,77.2,28.6,12.3,41.5,0,0,2010,13
Malaysia,0.009007513,119097,77.2,28.6,101.4,3.1,0,0,2010,14
Singapore,0.009405336,124357,77.2,28.6,103.8,1.3,0,0,2010,15
Mexico,1,12415222,-99.1,19.24,-99.1,19.24,0,0,2010,0
USA,0.980140508,12168662,-99.1,19.24,-77,38.9,0,0,2010,1
Russia,1,10118680,37.6,55.7,37.6,55.7,0,0,2010,0
Ukraine,0.322750695,3265811,37.6,55.7,30.3,50.3,0,0,2010,1
Kazakhstan,0.218593235,2211875,37.6,55.7,74.46,42.54,0,0,2010,2
Germany,0.084717177,857226,37.6,55.7,13.3,52.3,0,0,2010,3
Uzbekistan,0.090293596,913652,37.6,55.7,69.2,41.2,0,0,2010,4
Belarus,0.068029822,688372,37.6,55.7,27.5,53.9,0,0,2010,5
USA,0.040092087,405679,37.6,55.7,-77,38.9,0,0,2010,6
Tajikistan,0.023534888,238142,37.6,55.7,68.48,38.33,0,0,2010,7
Estonia,0.015290631,154721,37.6,55.7,24.48,59.22,0,0,2010,8
Latvia,0.01616871,163606,37.6,55.7,24.08,56.53,0,0,2010,9
Israel,0.010984437,111148,37.6,55.7,35.12,31.47,-28,0,2010,10
Kyrgyzstan,0.012540865,126897,37.6,55.7,74.46,42.54,0,0,2010,11
China,1,8714648,116.4,39.9,116.4,39.9,0,0,2010,0
USA,0.22065722,1922950,116.4,39.9,-77,38.9,0,0,2010,1
Japan,0.078850689,687156,116.4,39.9,139.7,35.7,0,0,2010,2
Canada,0.070225441,611990,116.4,39.9,-75.4,45.3,0,0,2010,3
Australia,0.042635113,371550,116.4,39.9,149.1,-35.3,0,0,2010,4
Singapore,0.04197496,365797,116.4,39.9,103.8,1.3,0,0,2010,5
Italy,0.022339055,194677,116.4,39.9,12.3,41.5,0,0,2010,6
United Kingdom,0.017808637,155196,116.4,39.9,-0.1,51.4,-40,0,2010,7
Spain,0.017776736,154918,116.4,39.9,-3.5,40.3,0,0,2010,8
Bangladesh,0.018388809,160252,116.4,39.9,90.3,23.4,0,0,2010,9
France,0.011857966,103338,116.4,39.9,2.2,48.5,0,0,2010,10
India,0.011475277,100003,116.4,39.9,77.2,28.6,0,0,2010,11
Bangladesh,1,6319871,90.3,23.4,90.3,23.4,0,0,2010,0
India,0.451802576,2855334,90.3,23.4,77.2,28.6,0,0,2010,1
United Arab Emirates,0.145472115,919365,90.3,23.4,54.2,24.3,-30,8,2010,2
Saudi Arabia,0.127927453,808485,90.3,23.4,46.4,24.4,-40,0,2010,3
Malaysia,0.055605882,351422,90.3,23.4,101.4,3.1,0,0,2010,4
Kuwait,0.040834852,258071,90.3,23.4,48,39.3,0,0,2010,5
United Kingdom,0.033162228,209581,90.3,23.4,-0.1,51.4,-40,0,2010,6
Qatar,0.026799598,169370,90.3,23.4,51.4,25.2,0,0,2010,7
USA,0.025242129,159527,90.3,23.4,-77,38.9,0,0,2010,8
Oman,0.017225193,108861,90.3,23.4,58.4,23.4,0,0,2010,9
Mexico,1,10817810,-99.1,19.24,-99.1,19.24,0,0,2005,0
USA,0.980888368,10611064,-99.1,19.24,-77,38.9,0,0,2005,1
Russia,1,10302948,37.6,55.7,37.6,55.7,0,0,2005,0
Ukraine,0.332207151,3422713,37.6,55.7,30.3,50.3,0,0,2005,1
Kazakhstan,0.205997254,2122379,37.6,55.7,71.3,51.1,0,0,2005,2
Germany,0.086317431,889324,37.6,55.7,13.3,52.3,0,15,2005,3
Uzbekistan,0.095183825,980674,37.6,55.7,69.2,41.2,0,0,2005,4
Belarus,0.067766235,698192,37.6,55.7,27.5,53.9,0,0,2005,5
USA,0.036033764,371254,37.6,55.7,-77,38.9,0,0,2005,6
Tajikistan,0.023168029,238699,37.6,55.7,68.48,38.33,0,0,2005,7
Estonia,0.016749672,172571,37.6,55.7,24.48,59.22,0,0,2005,8
Latvia,0.01958158,201748,37.6,55.7,24.08,56.53,0,0,2005,9
Israel,0.013183314,135827,37.6,55.7,35.12,31.47,-28,0,2005,10
Kyrgyzstan,0.016594183,170969,37.6,55.7,74.46,42.54,0,0,2005,11
India,1,9588533,77.2,28.6,77.2,28.6,0,0,2005,0
United Arab Emirates,0.134222096,1286993,77.2,28.6,54.2,24.3,-30,8,2005,1
USA,0.14502792,1390605,77.2,28.6,-77,38.9,0,0,2005,2
Saudi Arabia,0.126875404,1216549,77.2,28.6,46.4,24.4,-40,0,2005,3
Pakistan,0.208458791,1998814,77.2,28.6,73.1,33.4,0,0,2005,4
Oman,0.038943496,373411,77.2,28.6,58.4,23.4,0,0,2005,5
Kuwait,0.050677304,485921,77.2,28.6,48,39.3,0,0,2005,6
United Kingdom,0.057165158,548130,77.2,28.6,-0.1,51.4,-40,0,2005,7
Canada,0.044308655,424855,77.2,28.6,-75.4,45.3,0,10,2005,8
Qatar,0.020170343,193404,77.2,28.6,51.4,25.2,0,0,2005,9
Australia,0.015532616,148935,77.2,28.6,149.1,-35.3,0,0,2005,10
Nepal,0.053673487,514650,77.2,28.6,85.2,27.5,0,0,2005,11
Bahrain,0.016382172,157081,77.2,28.6,50.3,26.1,0,-20,2005,12
Malaysia,0.011065092,106098,77.2,28.6,101.4,3.1,0,0,2005,13
China,1,7337211,116.4,39.9,116.4,39.9,0,0,2005,0
USA,0.219109686,1607654,116.4,39.9,-77,38.9,0,0,2005,1
South Korea,0.033148427,243217,116.4,39.9,126.6,37.3,0,0,2005,2
Japan,0.088333292,648120,116.4,39.9,139.7,35.7,0,0,2005,3
Canada,0.069371591,508994,116.4,39.9,-75.4,45.3,0,10,2005,4
Australia,0.031014646,227561,116.4,39.9,149.1,-35.3,0,0,2005,5
Singapore,0.040839905,299651,116.4,39.9,103.8,1.3,0,0,2005,6
Italy,0.018758218,137633,116.4,39.9,12.3,41.5,0,0,2005,7
United Kingdom,0.020034043,146994,116.4,39.9,-0.1,51.4,-40,0,2005,8
Bangladesh,0.019817476,145405,116.4,39.9,90.3,23.4,0,0,2005,9
Ukraine,1,5566382,30.3,50.3,30.3,50.3,0,0,2005,0
Russia,0.591754033,3293929,30.3,50.3,37.6,55.7,0,0,2005,1
USA,0.053673284,298766,30.3,50.3,-77,38.9,0,0,2005,2
Kazakhstan,0.05084775,283038,30.3,50.3,74.46,42.54,0,0,2005,3
Germany,0.033433386,186103,30.3,50.3,13.3,52.3,0,0,2005,4
Poland,0.0473329,263473,30.3,50.3,21,52.1,0,0,2005,5
Italy,0.021190964,117957,30.3,50.3,12.3,41.5,0,0,2005,6
Belarus,0.041493918,230971,30.3,50.3,27.5,53.9,0,0,2005,7
Israel,0.026363444,146749,30.3,50.3,35.1,31.5,-28,0,2005,8
Uzbekistan,0.02388679,132963,30.3,50.3,69.2,41.2,0,0,2005,9
Russia,1,10664764,37.6,55.7,37.6,55.7,0,0,2000,0
Ukraine,0.351235339,3745842,37.6,55.7,30.3,50.3,0,0,2000,1
Kazakhstan,0.190616783,2032883,37.6,55.7,71.4,51.1,0,0,2000,2
Uzbekistan,0.100072257,1067247,37.6,55.7,69.2,41.2,0,0,2000,3
Germany,0.08474421,903777,37.6,55.7,13.3,52.3,0,15,2000,4
Belarus,0.066387873,708011,37.6,55.7,27.5,53.9,0,0,2000,5
USA,0.03270724,348815,37.6,55.7,-77,38.9,0,0,2000,6
Tajikistan,0.023638498,252099,37.6,55.7,68.48,38.33,0,0,2000,7
Latvia,0.02201202,234753,37.6,55.7,24.08,56.53,0,0,2000,8
Kyrgyzstan,0.019915209,212391,37.6,55.7,74.46,42.54,0,0,2000,9
Estonia,0.017719098,188970,37.6,55.7,24.48,59.22,0,0,2000,10
Israel,0.01520465,162154,37.6,55.7,35.12,31.47,-28,0,2000,11
Mexico,1,9562878,-99.1,19.24,-99.1,19.24,0,0,2000,0
USA,0.984068708,9410529,-99.1,19.24,-77,38.9,0,0,2000,1
India,1,7928051,77.2,28.6,77.2,28.6,0,0,2000,0
Pakistan,0.265013305,2101039,77.2,28.6,73.1,33.4,0,0,2000,1
USA,0.132254068,1048517,77.2,28.6,-77,38.9,0,0,2000,2
Saudi Arabia,0.123484574,978992,77.2,28.6,46.4,24.4,0,0,2000,3
United Arab Emirates,0.115523727,915878,77.2,28.6,54.2,24.3,-30,8,2000,4
Nepal,0.068565906,543594,77.2,28.6,85.2,27.5,0,0,2000,5
United Kingdom,0.057030915,452144,77.2,28.6,-0.1,51.4,-40,0,2000,6
Kuwait,0.052807935,418664,77.2,28.6,48,39.3,0,0,2000,7
Oman,0.042113881,333881,77.2,28.6,58.4,23.4,0,0,2000,8
Canada,0.040254282,319138,77.2,28.6,-75.4,45.3,0,10,2000,9
China,1,5884919,116.4,39.9,116.4,39.9,0,0,2000,0
USA,0.229139093,1348465,116.4,39.9,-77,38.9,0,0,2000,1
Canada,0.070036988,412162,116.4,39.9,-75.4,45.3,0,10,2000,2
Japan,0.057027123,335600,116.4,39.9,139.7,35.7,0,0,2000,3
Singapore,0.042515114,250198,116.4,39.9,103.8,1.3,0,0,2000,4
Australia,0.024586575,144690,116.4,39.9,149.1,-35.3,0,0,2000,5
United Kingdom,0.02448173,144073,116.4,39.9,-0.1,51.4,-40,0,2000,6
Bangladesh,0.020848375,122691,116.4,39.9,90.3,23.4,0,0,2000,7
Ukraine,1,5596518,30.3,50.3,30.3,50.3,0,0,2000,0
Russia,0.632864756,3541839,30.3,50.3,37.6,55.7,0,0,2000,1
Poland,0.057359415,321013,30.3,50.3,21,52.1,0,0,2000,2
USA,0.050413311,282139,30.3,50.3,-77,38.9,0,0,2000,3
Kazakhstan,0.044362048,248273,30.3,50.3,71.3,51.1,0,0,2000,4
Belarus,0.041850844,234219,30.3,50.3,27.3,53.5,0,0,2000,5
Israel,0.029352358,164271,30.3,50.3,35.1,31.5,-28,0,2000,6
Germany,0.027741714,155257,30.3,50.3,13.3,52.3,0,15,2000,7
Uzbekistan,0.023412236,131027,30.3,50.3,69.2,41.2,0,0,2000,8
Moldova,0.019835012,111007,30.3,50.3,28.5,47,0,0,2000,9
Russia,1,11587959,37.6,55.7,37.6,55.7,0,0,1995,0
Ukraine,0.375854972,4355392,37.6,55.7,30.3,50.3,0,0,1995,1
Kazakhstan,0.194468845,2253497,37.6,55.7,71.4,51.1,0,0,1995,2
Uzbekistan,0.10027331,1161963,37.6,55.7,69.2,41.2,0,0,1995,3
Germany,0.042332563,490548,37.6,55.7,13.3,52.3,0,15,1995,4
Belarus,0.064702248,749767,37.6,55.7,27.5,53.9,0,0,1995,5
USA,0.023210904,268967,37.6,55.7,-77,38.9,0,0,1995,6
Tajikistan,0.02540991,294449,37.6,55.7,68.48,38.33,0,0,1995,7
Latvia,0.030548952,354000,37.6,55.7,24.08,56.53,0,0,1995,8
Kyrgyzstan,0.024566708,284678,37.6,55.7,74.46,42.54,0,0,1995,9
Estonia,0.020384435,236214,37.6,55.7,24.48,59.22,0,0,1995,10
Israel,0.015008251,173915,37.6,55.7,35.12,31.47,-28,0,1995,11
Moldova,0.013138897,152253,37.6,55.7,28.5,47,0,0,1995,12
Lithuania,0.01049555,121622,37.6,55.7,25.2,54.4,0,0,1995,13
India,1,7153439,77.2,28.6,77.2,28.6,0,0,1995,0
Pakistan,0.330733791,2365884,77.2,28.6,73.1,33.4,0,0,1995,1
USA,0.104332615,746337,77.2,28.6,-77,38.9,0,0,1995,2
Saudi Arabia,0.12996672,929709,77.2,28.6,46.4,24.4,-40,0,1995,3
United Arab Emirates,0.093361109,667853,77.2,28.6,54.2,24.3,-30,8,1995,4
Nepal,0.072074145,515578,77.2,28.6,85.2,27.5,0,0,1995,5
United Kingdom,0.059032306,422284,77.2,28.6,-0.1,51.4,-40,0,1995,6
Kuwait,0.046463946,332377,77.2,28.6,48,39.3,0,0,1995,7
Oman,0.039559574,282987,77.2,28.6,58.4,23.4,0,0,1995,8
Canada,0.033555189,240035,77.2,28.6,-75.4,45.3,0,10,1995,9
Mexico,1,6949276,-99.1,19.24,-99.1,19.24,0,0,1995,0
USA,0.982540483,6827945,-99.1,19.24,-77,38.9,0,0,1995,1
Ukraine,1,5606133,30.3,50.3,30.3,50.3,0,0,1995,0
Russia,0.621653821,3485074,30.3,50.3,37.6,55.7,0,0,1995,1
Poland,0.066938655,375267,30.3,50.3,21,52.1,0,0,1995,2
Kazakhstan,0.053899542,302168,30.3,50.3,71.4,51.1,0,0,1995,3
Belarus,0.044242975,248032,30.3,50.3,27.3,53.5,0,0,1995,4
USA,0.038806607,217555,30.3,50.3,-77,38.9,0,0,1995,5
Israel,0.030495709,170963,30.3,50.3,35.1,31.5,-28,0,1995,6
Moldova,0.029338227,164474,30.3,50.3,28.5,47,0,0,1995,7
Uzbekistan,0.027355755,153360,30.3,50.3,69.2,41.2,0,0,1995,8
Bangladesh,1,5423528,90.3,23.4,90.3,23.4,0,0,1995,0
India,0.76096869,4127135,90.3,23.4,77.2,28.6,0,0,1995,1
Saudi Arabia,0.090586238,491297,90.3,23.4,46.4,24.4,-40,0,1995,2
United Arab Emirates,0.040547592,219911,90.3,23.4,54.2,24.3,-30,8,1995,3
United Kingdom,0.023003661,124761,90.3,23.4,-0.1,51.4,-40,0,1995,4
Kuwait,0.020290114,110044,90.3,23.4,48,39.3,0,0,1995,5
Russia,1,12653331,37.6,55.7,37.6,55.7,0,0,1990,0
Ukraine,0.396583161,5018098,37.6,55.7,30.3,50.3,0,0,1990,1
Kazakhstan,0.19553041,2474111,37.6,55.7,71.4,51.1,0,0,1990,2
Uzbekistan,0.100147621,1267201,37.6,55.7,69.2,41.2,0,0,1990,3
Belarus,0.062554437,791522,37.6,55.7,27.5,53.9,0,0,1990,4
USA,0.015067495,190654,37.6,55.7,-77,38.9,0,0,1990,5
Tajikistan,0.02873275,363565,37.6,55.7,68.48,38.33,0,0,1990,6
Latvia,0.03739782,473207,37.6,55.7,24.08,56.53,0,0,1990,7
Kyrgyzstan,0.027595421,349174,37.6,55.7,74.46,42.54,0,0,1990,8
Estonia,0.022401769,283457,37.6,55.7,24.48,59.22,0,0,1990,9
Israel,0.013904481,175938,37.6,55.7,35.12,31.47,-28,0,1990,10
Moldova,0.017827005,225571,37.6,55.7,28.5,47,0,0,1990,11
Lithuania,0.012522236,158448,37.6,55.7,25.2,54.4,0,0,1990,12
Turkmenistan,0.009351214,118324,37.6,55.7,57.5,38,0,0,1990,13
Georgia,0.011940729,151090,37.6,55.7,44.5,41.4,0,0,1990,14
Afghanistan,1,7679582,69.1,34.3,69.1,34.3,0,0,1990,0
Iran,0.51829735,3980307,69.1,34.3,51.3,35.4,0,0,1990,1
Pakistan,0.439473529,3374973,69.1,34.3,73.1,33.4,0,0,1990,2
Saudi Arabia,0.021648965,166255,69.1,34.3,46.4,24.4,0,0,1990,3
India,1,6619431,77.2,28.6,77.2,28.6,0,0,1990,0
Pakistan,0.425753815,2818248,77.2,28.6,73.1,33.4,0,0,1990,1
USA,0.068043009,450406,77.2,28.6,-77,38.9,0,0,1990,2
Saudi Arabia,0.136940471,906468,77.2,28.6,46.4,24.4,-40,0,1990,3
United Arab Emirates,0.069234652,458294,77.2,28.6,54.2,24.3,-30,8,1990,4
Nepal,0.055800869,369370,77.2,28.6,85.2,27.5,0,0,1990,5
United Kingdom,0.060356547,399526,77.2,28.6,-0.1,51.4,-40,0,1990,6
Kuwait,0.056679041,375183,77.2,28.6,48,39.3,0,0,1990,7
Oman,0.023046392,152554,77.2,28.6,58.4,23.4,0,0,1990,8
Canada,0.025174369,166640,77.2,28.6,-75.4,45.3,0,10,1990,9
Ukraine,1,5545517,30.3,50.3,30.3,50.3,0,0,1990,0
Russia,0.595421852,3301922,30.3,50.3,37.6,55.7,0,0,1990,1
Poland,0.079107503,438692,30.3,50.3,21,52.1,0,0,1990,2
Kazakhstan,0.064207359,356063,30.3,50.3,71.3,51.1,0,0,1990,3
Belarus,0.047217419,261845,30.3,50.3,27.3,53.5,0,0,1990,4
USA,0.027808228,154211,30.3,50.3,-77,38.9,0,0,1990,5
Israel,0.030309347,168081,30.3,50.3,35.1,31.5,-28,0,1990,6
Moldova,0.043948472,243717,30.3,50.3,28.5,47,0,0,1990,7
Uzbekistan,0.03249706,180213,30.3,50.3,69.2,41.2,0,0,1990,8
Bangladesh,1,5450443,90.3,23.4,90.3,23.4,0,0,1990,0
India,0.802715486,4375155,90.3,23.4,77.2,28.6,0,0,1990,1
Saudi Arabia,0.087952484,479380,90.3,23.4,46.4,24.4,-40,0,1990,2
United Arab Emirates,0.028414021,154869,90.3,23.4,54.2,24.3,-30,8,1990,3
Kuwait,0.023261045,126783,90.3,23.4,48,39.3,0,0,1990,4
United Kingdom,0.018783794,102380,90.3,23.4,-0.1,51.4,-40,0,1990,5
